RegionName,StateName,Metro,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,2013,2014,2015,2016,2017,2018,2019,2020
Los Angeles County,CA,Los Angeles-Long Beach-Anaheim,395750,403238,410741,420197,427870,435660,443386,453115,461420,467187,471600,474124,478273,478908,480479,480159,481553,482188,484362,484234,484635,485121,487921,490793,494513,498622,502589,503949,506368,508682,510805,512949,515330,518960,522066,526712,529241,532316,533989,539121,542411,546148,547852,551187,555427,560083,562536,564106,567167,570020,573344,575480,579596,583135,587474,591174,594376,597013,601852,606839,611450,616173,621196,625407,628495,631372,633967,634663,634570,634665,635260,634785,634544,631682,628908,628225,631975,637125,637873,637357,636784,638661,640459,644115,648535,654238,659773,664580,666444,667704,672758,680207,688570,695441,702046,708045,438690.6667,483218.8333,510128.75,590927.4167,585622.5,628500.25,635642.3333,675695.0833
Cook County,IL,Chicago-Naperville-Elgin,184527,186248,186989,188281,189259,191777,194257,197130,199133,202031,203456,205523,206134,207941,208756,208891,209437,210461,211353,211481,212404,212855,213649,214058,214509,214500,215046,216714,218347,218912,219404,220060,220591,220583,220777,221526,222559,224319,225501,226286,226475,227128,228404,229520,230328,231431,233006,234113,235165,235814,237493,238830,239969,240573,240957,241771,242897,243943,244581,245731,247583,249163,249493,249704,250315,251387,251776,252075,252284,252556,253162,253665,253638,253480,253712,254415,254958,255222,255297,255020,253994,252966,252505,252586,253078,253229,253684,254076,254595,255333,256710,258486,261016,263754,266201,268475,194050.9167,210618.3333,218414.0833,246716.3333,240643.6667,251096.9167,253982.75,258219.75
Harris County,TX,Houston-The Woodlands-Sugar Land,130054,130946,132439,134187,135809,136986,138117,139311,140680,142184,143688,145026,146196,147356,148056,148854,149644,151072,152487,154176,155755,157136,158352,159644,160859,161905,163242,164546,165755,166538,167014,167492,167989,168849,169357,169809,170721,171699,172298,172292,172676,173327,174363,174920,175404,175633,176553,177581,177989,178366,178869,179782,180318,180740,180948,181226,181605,182120,182554,182916,183446,183960,184594,185639,186759,187772,188573,189574,190527,191294,191911,192608,193752,194619,194917,194695,194893,195690,196615,197361,197401,197855,198125,198682,198619,198904,199807,200940,201912,202637,203555,204670,206514,208295,210494,212658,137452.25,152394,166112.9167,188106.3333,180619.4167,188054.75,196217.0833,204083.75
Maricopa County,AZ,Phoenix-Mesa-Scottsdale,176994,178659,181710,183717,185728,188345,191860,194814,197169,198941,199622,201310,203218,206245,206951,206746,206430,206556,206170,206136,205648,206146,207594,209317,209926,210271,212159,214708,217002,218153,219970,221559,223609,224673,225546,226322,228264,229616,230508,231378,232493,233823,234188,235182,236230,238078,239831,241168,242028,243189,244568,245814,246872,248307,250266,251516,252887,254185,255840,257233,258986,261111,262935,264630,266390,268163,269770,271016,272331,273316,274080,274992,276029,277170,278247,278598,279750,281476,283696,285599,286981,288598,290370,292451,294579,296637,299209,302766,305996,309005,311980,315932,320662,325809,331342,337118,189905.75,206429.75,218658.1667,253090.0833,249392.0833,268143.3333,283247.0833,312586.25
San Diego County,CA,San Diego-Carlsbad,387114,391755,397595,405356,413388,421219,429478,438623,443791,447186,449569,452149,457159,463367,463880,462817,459986,460305,461634,459941,461190,462073,466196,467362,466187,465799,471052,475652,480214,480794,482077,484436,487321,490660,493202,497591,504587,507053,506178,506143,507813,511591,512584,516472,519823,524158,526828,529161,528758,531624,536251,542424,548218,551984,555396,556618,559554,562921,566143,569743,576060,581966,585439,584912,584267,585742,588265,590888,591345,591632,591460,590804,587641,585452,584189,587233,590128,594493,597990,599937,599992,599614,600782,603334,607419,611178,615413,618539,622620,625616,629734,636244,645855,656702,667613,678665,423101.9167,462159.1667,481248.75,555831.8333,550802.8333,586898.3333,594232.0833,634633.1667
Orange County,CA,Los Angeles-Long Beach-Anaheim,511323,522326,535598,546896,558387,568772,574539,579499,584553,590775,597635,604120,608312,609858,606812,605536,603058,602892,603056,603365,604971,606210,608812,610162,611619,614175,617914,622420,624995,627804,631391,635727,639936,643468,644523,648298,650406,653968,655941,656940,660487,661688,666057,668999,670609,671248,674371,676338,681126,683169,687464,689853,692469,696399,698129,699761,702688,706605,711263,716122,719331,722595,724461,729041,733033,738010,738932,738899,736475,737288,737430,736910,734469,732110,730046,729348,732244,735076,738917,739547,742777,743837,744589,744462,747160,751413,756018,759221,760376,761539,764886,771973,778679,786090,794593,804911,564535.25,606087,630189.1667,717945.8333,697087.3333,732700.4167,737285.1667,769738.25
Kings County,NY,New York-Newark-Jersey City,435829,438637,440446,441043,442434,445488,448264,451398,456105,461330,465156,468492,472397,478164,483506,488938,493394,497490,501562,505771,508203,510587,511805,513941,516338,519032,522624,527907,533994,539521,543952,547545,552496,557243,562902,566879,569431,571155,573560,575567,577001,578795,581299,584450,585862,586359,587837,591027,595940,599841,603472,606886,610438,612922,615621,618819,624306,630268,634679,638064,640707,644907,647312,648796,650398,653803,657099,659899,660714,662978,665982,669581,671786,673241,674472,675610,676479,676778,676634,674474,672931,671118,669272,668412,668257,668793,669426,670688,672104,673297,674835,678096,681600,684767,688177,690978,449551.8333,497146.5,540869.4167,627435.1667,615938,655181.3333,673433.9167,676751.5
Miami-Dade County,FL,Miami-Fort Lauderdale-West Palm Beach,183446,186271,189745,193625,196547,198759,201590,204210,206858,208972,212502,216276,219769,221463,222879,223946,225575,227344,229128,230932,232795,235567,236869,238267,238686,240317,241613,243236,245070,246841,248174,249449,251044,252169,254131,255987,258583,260665,262637,264604,265919,267969,270246,272499,274298,275683,277163,278622,280519,282088,283345,284333,286111,287632,288952,290708,292087,294205,294596,296019,296620,298550,300417,302541,304368,305649,306960,307725,308901,309444,312065,313447,315112,314138,314279,314690,315062,315937,316520,317172,317394,318319,319163,319417,319217,320433,321646,322667,323839,325073,326723,328699,331112,333362,335250,338247,199900.0833,228711.1667,247226.4167,290406.25,288382.9167,305557.25,316433.5833,327189
Dallas County,TX,Dallas-Fort Worth-Arlington,122662,123034,123478,124143,125045,126038,127051,128185,129454,130592,131560,132467,132969,133732,134307,134833,135466,136291,135989,136243,136504,137806,138821,139836,140910,141819,142922,144593,146305,147806,149652,150903,152179,153055,154418,155892,156384,156758,157106,158327,159826,161670,163981,166007,167911,169650,171500,173019,174377,175932,177609,179166,180481,181363,181964,182049,182921,184117,185913,187685,190149,192734,194999,196655,198400,200272,202131,204533,205476,206532,206941,208619,210067,211281,212253,212963,213486,214047,214699,215585,216921,216926,217159,216705,217029,216978,217362,218393,219710,221173,222773,224192,226003,228942,232153,235586,126975.75,136066.4167,148371.1667,176502.5833,181131.4167,200620.0833,214341,223357.8333
Queens County,NY,New York-Newark-Jersey City,340149,340683,342214,344151,346386,348268,350339,352498,354228,356484,358604,360885,363873,367360,370856,373386,374937,375659,376952,378739,381751,383731,386031,388214,390359,392224,394214,396604,399133,402655,405585,408669,410411,412701,414734,417373,419803,422525,424558,427560,430477,433425,436284,438884,442280,445338,448898,451860,455273,457524,460147,461687,464297,466468,468962,471705,474554,478415,481325,483815,485730,488272,491600,495759,499881,504372,508445,511799,514624,516318,518139,520020,521583,522923,524264,524795,525876,525698,525141,524637,523669,524310,524274,524814,525213,525964,526372,527214,527488,528708,530449,532550,535322,537350,540161,542792,349574.0833,376790.75,403721.8333,469938.75,468681,504579.9167,524332,531631.9167
